temp,atemp,hum,windspeed,mnth,hr,weekday,season,holiday,workingday,weathersit,cnt
0.2,0.1667,0.44,0.4179,1,1,1,1,0,1,1,2
0.16,0.1364,0.47,0.3881,1,4,1,1,0,1,1,1
0.16,0.1364,0.47,0.2836,1,5,1,1,0,1,1,3
0.14,0.1061,0.5,0.3881,1,6,1,1,0,1,1,30
0.14,0.1364,0.5,0.194,1,7,1,1,0,1,1,64
0.14,0.1212,0.5,0.2836,1,8,1,1,0,1,1,154
0.16,0.1364,0.43,0.3881,1,9,1,1,0,1,1,88
0.18,0.1667,0.43,0.2537,1,10,1,1,0,1,1,44
0.2,0.1818,0.4,0.3284,1,11,1,1,0,1,1,51
0.22,0.2121,0.35,0.2985,1,12,1,1,0,1,1,61
0.24,0.2121,0.35,0.2836,1,13,1,1,0,1,1,61
0.26,0.2424,0.3,0.2836,1,14,1,1,0,1,1,77
0.26,0.2424,0.3,0.2537,1,15,1,1,0,1,1,72
0.26,0.2424,0.3,0.2537,1,16,1,1,0,1,1,76
0.24,0.2273,0.3,0.2239,1,17,1,1,0,1,1,157
0.24,0.2576,0.32,0.1045,1,18,1,1,0,1,1,157
0.2,0.2576,0.47,0.0,1,19,1,1,0,1,1,110
0.2,0.2273,0.47,0.1045,1,20,1,1,0,1,1,52
0.18,0.197,0.64,0.1343,1,21,1,1,0,1,1,52
0.14,0.1515,0.69,0.1343,1,22,1,1,0,1,1,20
0.18,0.2121,0.55,0.1045,1,23,1,1,0,1,1,12
0.16,0.1818,0.55,0.1045,1,0,2,1,0,1,1,5
0.16,0.1818,0.59,0.1045,1,1,2,1,0,1,1,2
0.14,0.1515,0.63,0.1343,1,2,2,1,0,1,1,1
0.14,0.1818,0.63,0.0896,1,4,2,1,0,1,1,2
0.12,0.1515,0.68,0.1045,1,5,2,1,0,1,1,4
0.12,0.1515,0.74,0.1045,1,6,2,1,0,1,1,36
0.12,0.1515,0.74,0.1343,1,7,2,1,0,1,1,94
0.14,0.1515,0.69,0.1642,1,8,2,1,0,1,1,179
0.16,0.1515,0.64,0.2239,1,9,2,1,0,1,1,100
0.16,0.1364,0.69,0.3284,1,10,2,1,0,1,2,42
0.22,0.2121,0.51,0.2985,1,11,2,1,0,1,1,57
0.22,0.2273,0.51,0.1642,1,12,2,1,0,1,1,78
0.24,0.2273,0.56,0.194,1,13,2,1,0,1,1,97
0.26,0.2576,0.52,0.2239,1,14,2,1,0,1,1,63
0.28,0.2727,0.52,0.2537,1,15,2,1,0,1,1,65
0.3,0.2879,0.49,0.2537,1,16,2,1,0,1,1,83
0.28,0.2727,0.48,0.2239,1,17,2,1,0,1,1,212
0.26,0.2576,0.48,0.194,1,18,2,1,0,1,1,182
0.24,0.2576,0.48,0.1045,1,19,2,1,0,1,1,112
0.24,0.2576,0.48,0.1045,1,20,2,1,0,1,1,54
0.22,0.2727,0.64,0.0,1,21,2,1,0,1,1,48
0.22,0.2576,0.64,0.0896,1,22,2,1,0,1,1,35
0.2,0.2273,0.69,0.0896,1,23,2,1,0,1,1,11
0.2,0.2576,0.64,0.0,1,0,3,1,0,1,1,6
0.16,0.197,0.74,0.0896,1,1,3,1,0,1,1,6
0.16,0.197,0.74,0.0896,1,2,3,1,0,1,1,2
0.24,0.2273,0.48,0.2239,1,4,3,1,0,1,1,2
0.22,0.2273,0.47,0.1642,1,5,3,1,0,1,1,3
0.2,0.197,0.47,0.2239,1,6,3,1,0,1,1,33
0.18,0.1818,0.43,0.194,1,7,3,1,0,1,1,88
0.2,0.1818,0.4,0.2985,1,8,3,1,0,1,1,195
0.22,0.197,0.37,0.3284,1,9,3,1,0,1,1,115
0.22,0.197,0.37,0.3284,1,10,3,1,0,1,1,57
0.26,0.2273,0.33,0.3284,1,11,3,1,0,1,1,46
0.26,0.2273,0.33,0.3284,1,12,3,1,0,1,1,79
0.28,0.2576,0.3,0.2985,1,13,3,1,0,1,1,71
0.3,0.2879,0.28,0.194,1,14,3,1,0,1,1,62
0.3,0.2879,0.28,0.194,1,15,3,1,0,1,1,62
0.3,0.3182,0.28,0.0896,1,16,3,1,0,1,1,89
0.24,0.2273,0.38,0.194,1,17,3,1,0,1,1,190
0.24,0.2424,0.38,0.1343,1,18,3,1,0,1,1,169
0.24,0.2576,0.38,0.1045,1,19,3,1,0,1,1,132
0.22,0.2273,0.47,0.1642,1,20,3,1,0,1,1,89
0.2,0.197,0.51,0.194,1,21,3,1,0,1,1,43
0.18,0.197,0.55,0.1343,1,22,3,1,0,1,1,42
0.2,0.2576,0.47,0.0,1,23,3,1,0,1,1,19
0.18,0.2424,0.55,0.0,1,0,4,1,0,1,1,11
0.16,0.2273,0.64,0.0,1,1,4,1,0,1,1,4
0.16,0.2273,0.64,0.0,1,2,4,1,0,1,1,2
0.16,0.197,0.64,0.0896,1,4,4,1,0,1,2,1
0.14,0.1818,0.69,0.0896,1,5,4,1,0,1,2,4
0.14,0.1667,0.63,0.1045,1,6,4,1,0,1,2,36
0.16,0.2273,0.59,0.0,1,7,4,1,0,1,2,95
0.16,0.2273,0.59,0.0,1,8,4,1,0,1,1,219
0.18,0.2424,0.51,0.0,1,9,4,1,0,1,2,122
0.2,0.2576,0.47,0.0,1,10,4,1,0,1,1,45
0.22,0.2576,0.44,0.0896,1,11,4,1,0,1,1,59
0.26,0.2879,0.35,0.0,1,12,4,1,0,1,1,84
0.26,0.2727,0.35,0.1045,1,13,4,1,0,1,1,67
0.28,0.2727,0.36,0.1642,1,14,4,1,0,1,1,70
0.28,0.2727,0.36,0.0,1,15,4,1,0,1,1,62
0.26,0.2576,0.38,0.1642,1,16,4,1,0,1,1,86
0.22,0.2273,0.51,0.1642,1,17,4,1,0,1,1,172
0.22,0.2273,0.51,0.1343,1,18,4,1,0,1,1,163
0.22,0.2576,0.55,0.0896,1,19,4,1,0,1,1,112
0.2,0.2121,0.51,0.1642,1,20,4,1,0,1,1,69
0.22,0.2121,0.55,0.2239,1,21,4,1,0,1,2,48
0.22,0.2121,0.51,0.2836,1,22,4,1,0,1,2,52
0.2,0.197,0.59,0.194,1,23,4,1,0,1,2,23
0.2,0.197,0.64,0.194,1,0,5,1,0,1,2,17
0.2,0.197,0.69,0.2239,1,1,5,1,0,1,2,7
0.2,0.197,0.69,0.2239,1,2,5,1,0,1,2,1
0.2,0.2121,0.69,0.1343,1,4,5,1,0,1,2,1
0.22,0.2727,0.55,0.0,1,5,5,1,0,1,3,5
0.2,0.2576,0.69,0.0,1,6,5,1,0,1,2,34
0.2,0.2121,0.69,0.1343,1,7,5,1,0,1,1,84
0.2,0.197,0.51,0.2537,1,8,5,1,0,1,1,210
0.2,0.1818,0.47,0.2985,1,9,5,1,0,1,1,134
0.22,0.197,0.37,0.3284,1,10,5,1,0,1,1,63
0.2,0.197,0.4,0.2239,1,11,5,1,0,1,2,67
0.2,0.197,0.37,0.2537,1,12,5,1,0,1,2,59
0.2,0.1818,0.37,0.2836,1,13,5,1,0,1,2,73
0.2,0.197,0.4,0.2537,1,14,5,1,0,1,2,50
0.2,0.2121,0.37,0.1642,1,15,5,1,0,1,2,72
0.2,0.2121,0.37,0.1642,1,16,5,1,0,1,2,87
0.2,0.2576,0.37,0.0,1,17,5,1,0,1,2,187
0.2,0.2273,0.4,0.0896,1,18,5,1,0,1,1,123
0.16,0.197,0.55,0.0896,1,19,5,1,0,1,1,95
0.18,0.2121,0.47,0.1045,1,20,5,1,0,1,1,51
0.18,0.197,0.47,0.1343,1,21,5,1,0,1,1,39
0.18,0.197,0.43,0.1642,1,22,5,1,0,1,2,36
0.18,0.197,0.51,0.1642,1,23,5,1,0,1,2,15
0.18,0.197,0.51,0.1642,1,0,6,1,0,0,2,25
0.18,0.2121,0.55,0.0896,1,1,6,1,0,0,2,16
0.18,0.2424,0.55,0.0,1,2,6,1,0,0,2,16
0.18,0.197,0.55,0.1642,1,3,6,1,0,0,3,7
0.18,0.197,0.55,0.1642,1,4,6,1,0,0,3,1
0.16,0.1667,0.74,0.1642,1,5,6,1,0,0,2,5
0.16,0.1667,0.74,0.1642,1,6,6,1,0,0,2,2
0.16,0.1818,0.74,0.1045,1,7,6,1,0,0,2,9
0.16,0.1818,0.93,0.1045,1,8,6,1,0,0,3,15
0.16,0.1818,0.93,0.1045,1,9,6,1,0,0,3,20
0.18,0.197,0.8,0.1642,1,10,6,1,0,0,2,61
0.2,0.1818,0.69,0.3881,1,11,6,1,0,0,2,62
0.2,0.1818,0.59,0.3582,1,12,6,1,0,0,2,98
0.2,0.1818,0.44,0.3284,1,13,6,1,0,0,1,102
0.2,0.1667,0.32,0.4925,1,14,6,1,0,0,1,95
0.2,0.1667,0.32,0.4478,1,15,6,1,0,0,1,74
0.18,0.1364,0.29,0.4478,1,16,6,1,0,0,1,76
0.16,0.1212,0.37,0.5522,1,17,6,1,0,0,1,69
0.14,0.1212,0.39,0.2985,1,18,6,1,0,0,1,55
0.14,0.1212,0.36,0.2537,1,19,6,1,0,0,1,30
0.12,0.1212,0.36,0.2537,1,20,6,1,0,0,1,28
0.12,0.1061,0.39,0.3582,1,21,6,1,0,0,1,37
0.12,0.1061,0.36,0.3881,1,22,6,1,0,0,1,34
0.1,0.0606,0.39,0.4478,1,23,6,1,0,0,1,22
0.1,0.0758,0.42,0.3881,1,0,0,1,0,0,1,25
0.1,0.0606,0.42,0.4627,1,1,0,1,0,0,1,12
0.1,0.0606,0.46,0.4627,1,2,0,1,0,0,1,11
0.1,0.0758,0.46,0.4179,1,3,0,1,0,0,1,4
0.08,0.0909,0.53,0.194,1,4,0,1,0,0,1,1
0.08,0.0909,0.53,0.194,1,5,0,1,0,0,1,1
0.1,0.0909,0.49,0.2836,1,6,0,1,0,0,1,1
0.08,0.0909,0.53,0.194,1,7,0,1,0,0,1,6
0.1,0.0909,0.49,0.2836,1,8,0,1,0,0,1,10
0.12,0.0758,0.46,0.5224,1,9,0,1,0,0,1,19
0.14,0.1061,0.43,0.3881,1,10,0,1,0,0,1,49
0.16,0.1212,0.4,0.5224,1,11,0,1,0,0,1,49
0.18,0.1364,0.37,0.4478,1,12,0,1,0,0,1,83
0.2,0.1667,0.34,0.4478,1,13,0,1,0,0,1,75
0.22,0.1818,0.32,0.4627,1,14,0,1,0,0,1,72
0.22,0.197,0.35,0.3582,1,15,0,1,0,0,1,82
0.2,0.1667,0.34,0.4478,1,16,0,1,0,0,1,92
0.18,0.1515,0.37,0.3881,1,17,0,1,0,0,1,62
0.16,0.1364,0.4,0.3284,1,18,0,1,0,0,1,48
0.16,0.1364,0.43,0.3284,1,19,0,1,0,0,1,41
0.14,0.1212,0.46,0.2537,1,20,0,1,0,0,1,38
0.14,0.1061,0.46,0.4179,1,21,0,1,0,0,1,20
0.14,0.1212,0.46,0.2985,1,22,0,1,0,0,1,15
0.12,0.1364,0.5,0.194,1,23,0,1,0,0,1,6
0.12,0.1212,0.5,0.2836,1,0,1,1,0,1,1,5
0.12,0.1212,0.5,0.2836,1,1,1,1,0,1,1,1
0.12,0.1212,0.5,0.2239,1,2,1,1,0,1,1,3
0.12,0.1212,0.5,0.2239,1,3,1,1,0,1,1,1
0.1,0.1212,0.54,0.1343,1,4,1,1,0,1,1,3
0.1,0.1061,0.54,0.2537,1,5,1,1,0,1,1,3
0.12,0.1212,0.5,0.2836,1,6,1,1,0,1,1,31
0.12,0.1212,0.5,0.2239,1,7,1,1,0,1,1,77
0.12,0.1212,0.5,0.2836,1,8,1,1,0,1,2,188
0.14,0.1212,0.5,0.2537,1,9,1,1,0,1,2,94
0.14,0.1212,0.5,0.2985,1,10,1,1,0,1,2,31
0.16,0.1364,0.47,0.2836,1,11,1,1,0,1,2,30
0.2,0.1818,0.4,0.2836,1,12,1,1,0,1,2,52
0.2,0.1818,0.4,0.2836,1,13,1,1,0,1,2,54
0.2,0.197,0.4,0.2239,1,14,1,1,0,1,2,47
0.2,0.197,0.4,0.2239,1,15,1,1,0,1,2,45
0.2,0.2121,0.4,0.1343,1,16,1,1,0,1,1,74
0.2,0.2273,0.4,0.1045,1,17,1,1,0,1,1,178
0.2,0.197,0.4,0.2239,1,18,1,1,0,1,1,155
0.16,0.1667,0.47,0.1642,1,19,1,1,0,1,1,95
0.16,0.1667,0.5,0.1642,1,20,1,1,0,1,1,74
0.14,0.1364,0.59,0.194,1,21,1,1,0,1,1,38
0.14,0.1515,0.59,0.1642,1,22,1,1,0,1,1,24
0.14,0.1515,0.59,0.1642,1,23,1,1,0,1,1,18
0.14,0.1667,0.59,0.1045,1,0,2,1,0,1,1,12
0.14,0.1515,0.59,0.1642,1,1,2,1,0,1,1,3
0.16,0.1515,0.55,0.194,1,2,2,1,0,1,2,3
0.16,0.1818,0.55,0.1343,1,5,2,1,0,1,2,6
0.16,0.1818,0.55,0.1343,1,6,2,1,0,1,2,27
0.16,0.2273,0.55,0.0,1,7,2,1,0,1,2,99
0.18,0.2121,0.51,0.0896,1,8,2,1,0,1,2,217
0.18,0.197,0.51,0.1642,1,9,2,1,0,1,2,130
0.2,0.2121,0.51,0.1642,1,10,2,1,0,1,2,54
0.2,0.2121,0.47,0.1343,1,11,2,1,0,1,2,35
0.2,0.2273,0.51,0.1045,1,12,2,1,0,1,2,57
0.2,0.2273,0.59,0.0896,1,13,2,1,0,1,2,52
0.2,0.2273,0.59,0.0896,1,14,2,1,0,1,2,63
0.16,0.197,0.8,0.0896,1,15,2,1,0,1,2,47
0.16,0.1515,0.86,0.2239,1,16,2,1,0,1,2,76
0.16,0.1515,0.86,0.2239,1,17,2,1,0,1,2,136
0.16,0.1818,0.93,0.1045,1,18,2,1,0,1,3,95
0.16,0.2273,0.93,0.0,1,19,2,1,0,1,3,51
0.16,0.1515,0.93,0.194,1,20,2,1,0,1,3,32
0.16,0.197,0.86,0.0896,1,21,2,1,0,1,3,20
0.16,0.1818,0.93,0.1045,1,22,2,1,0,1,3,29
0.16,0.197,0.93,0.0896,1,23,2,1,0,1,3,19
0.16,0.197,0.86,0.0896,1,0,3,1,0,1,2,7
0.16,0.1818,0.86,0.1045,1,1,3,1,0,1,2,6
0.14,0.1515,0.86,0.1343,1,2,3,1,0,1,1,1
0.14,0.1515,0.86,0.1642,1,5,3,1,0,1,1,5
0.12,0.1515,0.93,0.1343,1,6,3,1,0,1,1,16
0.14,0.1515,0.69,0.1343,1,7,3,1,0,1,1,54
0.16,0.1667,0.59,0.1642,1,8,3,1,0,1,1,128
0.16,0.1364,0.59,0.3284,1,9,3,1,0,1,1,81
0.18,0.1818,0.55,0.2239,1,10,3,1,0,1,1,39
0.2,0.1818,0.51,0.3881,1,11,3,1,0,1,1,35
0.2,0.1515,0.47,0.5821,1,12,3,1,0,1,1,55
0.22,0.197,0.44,0.3582,1,13,3,1,0,1,1,49
0.2,0.1818,0.47,0.3284,1,14,3,1,0,1,1,44
0.2,0.1667,0.47,0.4179,1,15,3,1,0,1,1,49
0.22,0.197,0.44,0.3284,1,16,3,1,0,1,1,68
0.2,0.1818,0.47,0.3582,1,17,3,1,0,1,1,139
0.2,0.1515,0.47,0.5224,1,18,3,1,0,1,1,137
0.18,0.1515,0.47,0.4179,1,19,3,1,0,1,1,83
0.16,0.1364,0.5,0.3284,1,20,3,1,0,1,1,56
0.16,0.1364,0.55,0.3284,1,21,3,1,0,1,1,57
0.16,0.1212,0.55,0.4478,1,22,3,1,0,1,1,33
0.14,0.1061,0.59,0.4179,1,23,3,1,0,1,1,20
0.14,0.1212,0.59,0.2836,1,0,4,1,0,1,1,7
0.14,0.1212,0.5,0.2836,1,1,4,1,0,1,1,2
0.14,0.1212,0.5,0.3582,1,2,4,1,0,1,1,2
0.14,0.1212,0.5,0.3284,1,3,4,1,0,1,1,3
0.14,0.1212,0.5,0.2537,1,4,4,1,0,1,1,4
0.14,0.1212,0.5,0.2985,1,5,4,1,0,1,1,3
0.12,0.1515,0.54,0.1343,1,6,4,1,0,1,1,28
0.12,0.1515,0.54,0.1343,1,7,4,1,0,1,1,72
0.14,0.1364,0.5,0.194,1,8,4,1,0,1,1,202
0.14,0.1212,0.5,0.3284,1,9,4,1,0,1,1,139
0.16,0.1364,0.5,0.3582,1,10,4,1,0,1,2,38
0.2,0.1667,0.44,0.4478,1,11,4,1,0,1,2,37
0.2,0.1667,0.44,0.4179,1,12,4,1,0,1,1,52
0.22,0.197,0.41,0.4478,1,13,4,1,0,1,1,83
0.22,0.197,0.41,0.3881,1,14,4,1,0,1,1,42
0.24,0.2121,0.38,0.2985,1,15,4,1,0,1,1,60
0.24,0.2121,0.38,0.3582,1,16,4,1,0,1,1,78
0.2,0.1818,0.4,0.2836,1,17,4,1,0,1,1,162
0.2,0.1818,0.4,0.3284,1,18,4,1,0,1,1,144
0.16,0.1515,0.47,0.2537,1,19,4,1,0,1,1,99
0.16,0.1515,0.47,0.2239,1,20,4,1,0,1,1,64
0.14,0.1212,0.46,0.2985,1,21,4,1,0,1,1,40
0.14,0.1212,0.46,0.3284,1,22,4,1,0,1,1,30
0.12,0.1364,0.5,0.194,1,23,4,1,0,1,1,15
0.12,0.1364,0.5,0.194,1,0,5,1,0,1,1,14
0.1,0.1212,0.54,0.1642,1,1,5,1,0,1,1,5
0.1,0.1212,0.54,0.1343,1,2,5,1,0,1,1,1
0.1,0.1364,0.54,0.1045,1,3,5,1,0,1,1,1
0.1,0.1364,0.54,0.0896,1,5,5,1,0,1,1,8
0.1,0.1818,0.54,0.0,1,6,5,1,0,1,1,17
0.1,0.1212,0.74,0.1642,1,7,5,1,0,1,1,70
0.12,0.1667,0.68,0.0,1,8,5,1,0,1,1,158
0.14,0.1515,0.69,0.1343,1,9,5,1,0,1,1,117
0.18,0.1818,0.55,0.194,1,10,5,1,0,1,1,44
0.18,0.1667,0.51,0.2836,1,11,5,1,0,1,1,53
0.2,0.197,0.44,0.2537,1,12,5,1,0,1,1,61
0.22,0.197,0.37,0.3881,1,13,5,1,0,1,1,77
0.22,0.2121,0.41,0.2836,1,14,5,1,0,1,1,64
0.24,0.2424,0.38,0.1642,1,15,5,1,0,1,1,68
0.22,0.2424,0.41,0.1045,1,16,5,1,0,1,1,90
0.22,0.2273,0.41,0.1642,1,17,5,1,0,1,1,159
0.2,0.2576,0.47,0.0,1,18,5,1,0,1,1,139
0.16,0.197,0.59,0.0896,1,19,5,1,0,1,1,92
0.18,0.2424,0.59,0.0,1,20,5,1,0,1,1,68
0.16,0.2273,0.69,0.0,1,21,5,1,0,1,1,52
0.16,0.2273,0.69,0.0,1,22,5,1,0,1,2,36
0.18,0.2424,0.55,0.0,1,23,5,1,0,1,2,27
0.18,0.2424,0.55,0.0,1,0,6,1,0,0,1,28
0.16,0.197,0.59,0.0896,1,1,6,1,0,0,2,20
0.16,0.197,0.59,0.0896,1,2,6,1,0,0,2,12
0.16,0.2273,0.59,0.0,1,3,6,1,0,0,2,8
0.16,0.2273,0.59,0.0,1,4,6,1,0,0,2,5
0.16,0.2273,0.59,0.0,1,5,6,1,0,0,1,1
0.14,0.1667,0.63,0.1045,1,6,6,1,0,0,1,3
0.14,0.2121,0.63,0.0,1,7,6,1,0,0,1,10
0.14,0.1515,0.63,0.1343,1,8,6,1,0,0,1,23
0.16,0.1818,0.64,0.1343,1,9,6,1,0,0,1,33
0.18,0.197,0.59,0.1642,1,10,6,1,0,0,1,59
0.2,0.197,0.55,0.2239,1,11,6,1,0,0,1,72
0.24,0.2273,0.48,0.2239,1,12,6,1,0,0,1,89
0.28,0.2576,0.38,0.2985,1,13,6,1,0,0,1,101
0.3,0.2879,0.39,0.2836,1,14,6,1,0,0,1,118
0.32,0.3182,0.36,0.194,1,15,6,1,0,0,2,129
0.34,0.3333,0.34,0.194,1,16,6,1,0,0,2,128
0.32,0.303,0.36,0.2836,1,17,6,1,0,0,2,83
0.3,0.2879,0.45,0.2537,1,18,6,1,0,0,2,84
0.32,0.303,0.39,0.2537,1,19,6,1,0,0,2,74
0.32,0.303,0.39,0.2537,1,20,6,1,0,0,2,41
0.32,0.303,0.39,0.2239,1,21,6,1,0,0,2,57
0.3,0.3182,0.42,0.1045,1,22,6,1,0,0,2,26
0.3,0.2879,0.45,0.2836,1,23,6,1,0,0,1,44
0.26,0.303,0.56,0.0,1,0,0,1,0,0,1,39
0.26,0.2727,0.56,0.1343,1,1,0,1,0,0,1,23
0.26,0.2879,0.56,0.0896,1,2,0,1,0,0,1,16
0.22,0.2727,0.69,0.0,1,3,0,1,0,0,1,15
0.26,0.2576,0.56,0.1642,1,4,0,1,0,0,1,1
0.26,0.2576,0.56,0.1642,1,5,0,1,0,0,2,2
0.26,0.2576,0.56,0.1642,1,6,0,1,0,0,2,1
0.24,0.2121,0.56,0.2985,1,7,0,1,0,0,2,3
0.22,0.2121,0.55,0.2836,1,8,0,1,0,0,1,18
0.22,0.2121,0.51,0.2537,1,9,0,1,0,0,1,32
0.22,0.2121,0.51,0.2836,1,10,0,1,0,0,1,79
0.24,0.2273,0.44,0.2537,1,11,0,1,0,0,1,93
0.24,0.2121,0.41,0.2836,1,12,0,1,0,0,1,104
0.26,0.2273,0.35,0.2985,1,13,0,1,0,0,1,118
0.28,0.2727,0.36,0.2537,1,14,0,1,0,0,1,91
0.26,0.2424,0.38,0.2537,1,15,0,1,0,0,1,113
0.24,0.2273,0.38,0.2239,1,16,0,1,0,0,1,99
0.22,0.2121,0.37,0.2537,1,17,0,1,0,0,1,105
0.2,0.2121,0.4,0.1642,1,18,0,1,0,0,1,67
0.18,0.197,0.47,0.1343,1,19,0,1,0,0,1,61
0.18,0.197,0.47,0.1642,1,20,0,1,0,0,1,57
0.18,0.197,0.51,0.1642,1,21,0,1,0,0,1,28
0.2,0.2121,0.49,0.1343,1,22,0,1,0,0,2,21
0.2,0.2273,0.4,0.1045,1,23,0,1,0,0,2,18
0.2,0.197,0.47,0.2239,1,0,1,1,1,0,2,17
0.2,0.197,0.44,0.194,1,1,1,1,1,0,2,16
0.18,0.1667,0.43,0.2537,1,2,1,1,1,0,2,8
0.18,0.1818,0.43,0.194,1,3,1,1,1,0,2,2
0.18,0.197,0.43,0.1343,1,4,1,1,1,0,2,3
0.18,0.197,0.43,0.1642,1,5,1,1,1,0,2,1
0.18,0.1818,0.43,0.194,1,6,1,1,1,0,2,5
0.16,0.1818,0.5,0.1343,1,7,1,1,1,0,2,13
0.16,0.1515,0.47,0.2239,1,8,1,1,1,0,2,33
0.16,0.1515,0.47,0.2239,1,9,1,1,1,0,2,47
0.16,0.1515,0.5,0.2537,1,10,1,1,1,0,2,57
0.16,0.1515,0.55,0.194,1,11,1,1,1,0,2,64
0.18,0.197,0.47,0.1343,1,12,1,1,1,0,2,80
0.18,0.197,0.47,0.1343,1,13,1,1,1,0,2,93
0.18,0.2121,0.43,0.1045,1,14,1,1,1,0,2,86
0.2,0.2121,0.47,0.1642,1,15,1,1,1,0,2,93
0.2,0.2121,0.47,0.1642,1,16,1,1,1,0,2,82
0.2,0.197,0.51,0.194,1,17,1,1,1,0,1,71
0.18,0.1667,0.55,0.2537,1,18,1,1,1,0,2,92
0.18,0.1818,0.59,0.194,1,19,1,1,1,0,3,60
0.16,0.1515,0.8,0.194,1,20,1,1,1,0,3,33
0.16,0.1515,0.8,0.194,1,21,1,1,1,0,3,27
0.14,0.1212,0.93,0.2537,1,22,1,1,1,0,3,13
0.16,0.1364,0.86,0.2836,1,23,1,1,1,0,3,4
0.2,0.1818,0.86,0.3284,1,12,2,1,0,1,2,3
0.2,0.197,0.86,0.2239,1,13,2,1,0,1,2,22
0.22,0.2273,0.8,0.1642,1,14,2,1,0,1,2,28
0.22,0.2273,0.87,0.1642,1,15,2,1,0,1,2,35
0.22,0.2273,0.87,0.194,1,16,2,1,0,1,2,61
0.22,0.2273,0.82,0.194,1,17,2,1,0,1,2,125
0.22,0.2273,0.8,0.1642,1,18,2,1,0,1,2,133
0.22,0.2273,0.8,0.1343,1,19,2,1,0,1,2,99
0.22,0.2727,0.87,0.0,1,20,2,1,0,1,2,83
0.22,0.2424,0.93,0.1045,1,21,2,1,0,1,2,41
0.22,0.2576,0.93,0.0896,1,22,2,1,0,1,2,33
0.22,0.2727,0.93,0.0,1,23,2,1,0,1,2,20
0.22,0.2727,0.93,0.0,1,0,3,1,0,1,2,3
0.22,0.2273,0.93,0.1343,1,1,3,1,0,1,3,7
0.22,0.2273,0.93,0.1343,1,2,3,1,0,1,3,3
0.22,0.2273,0.93,0.1343,1,4,3,1,0,1,3,2
0.22,0.2576,0.93,0.0896,1,5,3,1,0,1,2,7
